"case_id","source_id","exam_type","exam_class","exam_subject","question_type"
"CMBEXAM_057","9138","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_058","9146","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_059","9155","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_060","9157","专业知识考试","预防医学与公共卫生学","医学伦理学","单项选择题"
"CMBEXAM_061","9169","专业知识考试","预防医学与公共卫生学","预防医学","单项选择题"
"CMBEXAM_062","9179","专业知识考试","预防医学与公共卫生学","卫生学","单项选择题"
"CMBEXAM_063","9217","专业知识考试","中医学与中药学","中医儿科学","单项选择题"
"CMBEXAM_064","9229","专业知识考试","中医学与中药学","中医诊断学","单项选择题"
"CMBEXAM_065","9239","专业知识考试","中医学与中药学","中医诊断学","单项选择题"
"CMBEXAM_066","9246","专业知识考试","中医学与中药学","中医眼科学","单项选择题"
"CMBEXAM_067","9248","专业知识考试","中医学与中药学","伤寒论","单项选择题"
"CMBEXAM_068","9256","专业知识考试","中医学与中药学","中医眼科学","单项选择题"
"CMBEXAM_069","9266","专业知识考试","中医学与中药学","中医儿科学","单项选择题"
"CMBEXAM_070","9282","专业知识考试","中医学与中药学","中医基础理论","单项选择题"
"CMBEXAM_071","9293","专业知识考试","中医学与中药学","伤寒论","单项选择题"
"CMBEXAM_072","9301","专业知识考试","中医学与中药学","中医儿科学","单项选择题"
"CMBEXAM_073","9325","专业知识考试","中医学与中药学","中医内科学","单项选择题"
"CMBEXAM_074","9356","专业知识考试","中医学与中药学","中医眼科学","单项选择题"
"CMBEXAM_075","9358","专业知识考试","中医学与中药学","中医儿科学","单项选择题"
"CMBEXAM_076","9383","专业知识考试","中医学与中药学","中医诊断学","单项选择题"
"CMBEXAM_077","9428","专业知识考试","中医学与中药学","伤寒论","单项选择题"
"CMBEXAM_078","9445","专业知识考试","中医学与中药学","伤寒论","单项选择题"
"CMBEXAM_079","9466","专业知识考试","中医学与中药学","中医眼科学","单项选择题"
"CMBEXAM_080","9476","专业知识考试","中医学与中药学","伤寒论","单项选择题"
"CMBEXAM_081","9489","专业知识考试","中医学与中药学","中医诊断学","单项选择题"
"CMBEXAM_082","9492","专业知识考试","中医学与中药学","温病学","单项选择题"
"CMBEXAM_083","9534","专业知识考试","中医学与中药学","温病学","单项选择题"
"CMBEXAM_084","9579","专业知识考试","中医学与中药学","中医诊断学","单项选择题"
"CMBEXAM_085","9617","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_086","9619","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_087","9621","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_088","9626","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_089","9671","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_090","9676","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_091","9681","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_092","9701","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_093","9702","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_094","9707","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_095","9708","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_096","9709","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_097","9726","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_098","9733","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_099","9739","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_100","9786","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_101","9832","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_102","9877","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_103","9892","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_104","9909","医学考研","护理学","基础护理学","单项选择题"
"CMBEXAM_105","9935","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_106","9941","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_107","9965","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_108","9973","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_109","9999","医学考研","护理学","外科护理学","单项选择题"
"CMBEXAM_110","10014","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_111","10019","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_112","10054","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_113","10067","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_114","10070","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_115","10087","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_116","10153","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_117","10156","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_118","10163","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_119","10193","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_120","10250","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_121","10268","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_122","10291","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_123","10295","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_124","10305","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_125","10352","医学考研","考研政治","考研政治","单项选择题"
"CMBEXAM_126","10407","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_127","10414","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_128","10464","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_129","10471","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_130","10494","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_131","10507","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_132","10519","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_133","10585","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_134","10598","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_135","10602","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_136","10605","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_137","10615","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_138","10627","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_139","10643","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_140","10645","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_141","10652","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_142","10683","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_143","10714","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_144","10726","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_145","10743","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_146","10771","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_147","10785","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_148","10796","医学考研","西医综合","考研西医综合","单项选择题"
"CMBEXAM_149","10830","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_150","10858","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_151","10869","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_152","10894","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_153","10926","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_154","10939","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_155","10960","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_156","10991","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_157","11007","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_158","11013","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_159","11100","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_160","11101","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_161","11121","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_162","11135","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_163","11141","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_164","11149","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_165","11151","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_166","11153","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_167","11192","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_168","11200","医学考研","中医综合","考研中医综合","单项选择题"
"CMBEXAM_169","94","医师考试","规培结业","内科","单项选择题"
"CMBEXAM_170","95","医师考试","规培结业","康复医学科","单项选择题"
"CMBEXAM_171","147","医师考试","规培结业","骨科","单项选择题"
"CMBEXAM_172","154","医师考试","规培结业","耳鼻咽喉科","单项选择题"
"CMBEXAM_173","158","医师考试","规培结业","儿科","单项选择题"
"CMBEXAM_174","225","医师考试","规培结业","临床病理科","单项选择题"
"CMBEXAM_175","251","医师考试","规培结业","骨科","单项选择题"
"CMBEXAM_176","356","医师考试","规培结业","外科","单项选择题"
"CMBEXAM_177","394","医师考试","规培结业","麻醉科","单项选择题"
"CMBEXAM_178","435","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_179","436","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_180","444","医师考试","执业助理医师","公共卫生执业助理医师","单项选择题"
"CMBEXAM_181","458","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_182","462","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_183","463","医师考试","执业助理医师","公共卫生执业助理医师","单项选择题"
"CMBEXAM_184","509","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_185","536","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_186","539","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_187","561","医师考试","执业助理医师","中医执业助理医师","单项选择题"
"CMBEXAM_188","562","医师考试","执业助理医师","公共卫生执业助理医师","单项选择题"
"CMBEXAM_189","601","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_190","641","医师考试","执业助理医师","中医执业助理医师","单项选择题"
"CMBEXAM_191","645","医师考试","执业助理医师","中医执业助理医师","单项选择题"
"CMBEXAM_192","647","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_193","655","医师考试","执业助理医师","中医执业助理医师","单项选择题"
"CMBEXAM_194","664","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_195","675","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_196","681","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_197","685","医师考试","执业助理医师","口腔执业助理医师","单项选择题"
"CMBEXAM_198","722","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_199","733","医师考试","执业助理医师","公共卫生执业助理医师","单项选择题"
"CMBEXAM_200","754","医师考试","执业助理医师","中医执业助理医师","单项选择题"
"CMBEXAM_201","769","医师考试","执业助理医师","公共卫生执业助理医师","单项选择题"
"CMBEXAM_202","771","医师考试","执业助理医师","临床执业助理医师","单项选择题"
"CMBEXAM_203","790","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_204","793","医师考试","执业助理医师","口腔执业助理医师","单项选择题"
"CMBEXAM_205","797","医师考试","执业助理医师","中西医结合执业助理医师","单项选择题"
"CMBEXAM_206","826","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_207","899","医师考试","执业医师","中西医结合执业医师","单项选择题"
"CMBEXAM_208","945","医师考试","执业医师","中西医结合执业医师","单项选择题"
"CMBEXAM_209","964","医师考试","执业医师","公共卫生执业医师","单项选择题"
"CMBEXAM_210","992","医师考试","执业医师","中西医结合执业医师","单项选择题"
"CMBEXAM_211","1033","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_212","1075","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_213","1078","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_214","1084","医师考试","执业医师","公共卫生执业医师","单项选择题"
"CMBEXAM_215","1113","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_216","1120","医师考试","执业医师","中西医结合执业医师","单项选择题"
"CMBEXAM_217","1122","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_218","1126","医师考试","执业医师","中西医结合执业医师","单项选择题"
"CMBEXAM_219","1152","医师考试","执业医师","中西医结合执业医师","单项选择题"
"CMBEXAM_220","1161","医师考试","执业医师","临床执业医师","单项选择题"
"CMBEXAM_221","1203","医师考试","中级职称","口腔内科主治医师","单项选择题"
"CMBEXAM_222","1248","医师考试","中级职称","内科主治医师","单项选择题"
"CMBEXAM_223","1300","医师考试","中级职称","外科主治医师","单项选择题"
"CMBEXAM_224","1309","医师考试","中级职称","外科主治医师","单项选择题"
"CMBEXAM_225","1335","医师考试","中级职称","全科主治医师","单项选择题"
"CMBEXAM_226","1342","医师考试","中级职称","核医学主治医师","单项选择题"
"CMBEXAM_227","1349","医师考试","中级职称","核医学主治医师","单项选择题"
"CMBEXAM_228","1365","医师考试","中级职称","内科主治医师","单项选择题"
"CMBEXAM_229","1381","医师考试","中级职称","内科主治医师","单项选择题"
"CMBEXAM_230","1431","医师考试","中级职称","麻醉科主治医师","单项选择题"
"CMBEXAM_231","1440","医师考试","中级职称","皮肤与性病学主治医师","单项选择题"
"CMBEXAM_232","1450","医师考试","中级职称","皮肤科","单项选择题"
"CMBEXAM_233","1462","医师考试","中级职称","妇产科主治医师","单项选择题"
"CMBEXAM_234","1507","医师考试","中级职称","外科主治医师","单项选择题"
"CMBEXAM_235","1542","医师考试","中级职称","中西医结合内科主治医师","单项选择题"
"CMBEXAM_236","1555","医师考试","中级职称","心理治疗学主治医师","单项选择题"
"CMBEXAM_237","1557","医师考试","中级职称","内科主治医师","单项选择题"
"CMBEXAM_238","1571","医师考试","中级职称","传染病主治医师","单项选择题"
"CMBEXAM_239","1617","医师考试","高级职称","妇产科学副主任、主任医师职称考试","单项选择题"
"CMBEXAM_240","1619","医师考试","高级职称","呼吸内科高级职称","单项选择题"
"CMBEXAM_241","1744","医师考试","高级职称","普通内科高级职称","单项选择题"
"CMBEXAM_242","1796","医师考试","高级职称","消化内科高级职称","单项选择题"
"CMBEXAM_243","1805","医师考试","高级职称","消化内科高级职称","单项选择题"
"CMBEXAM_244","1852","医师考试","高级职称","消化内科高级职称","单项选择题"
"CMBEXAM_245","1866","医师考试","高级职称","骨科高级职称","单项选择题"
"CMBEXAM_246","1938","医师考试","高级职称","普通外科高级职称","单项选择题"
"CMBEXAM_247","1942","医师考试","高级职称","妇产科学副主任、主任医师职称考试","单项选择题"
"CMBEXAM_248","1976","医师考试","高级职称","普通外科高级职称","单项选择题"
"CMBEXAM_249","1981","医师考试","高级职称","内分泌科高级职称","单项选择题"
"CMBEXAM_250","1988","医师考试","高级职称","消化内科高级职称","单项选择题"
"CMBEXAM_251","1994","医师考试","高级职称","骨科高级职称","单项选择题"
"CMBEXAM_252","6813","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_253","6867","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_254","6880","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_255","6884","医技考试","医技士","检验技术（士）","单项选择题"
"CMBEXAM_256","6914","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_257","6921","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_258","6927","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_259","6948","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_260","6953","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_261","6964","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_262","6967","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_263","6994","医技考试","医技士","检验技术（士）","单项选择题"
"CMBEXAM_264","6997","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_265","7000","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_266","7015","医技考试","医技士","检验技术（士）","单项选择题"
"CMBEXAM_267","7024","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_268","7043","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_269","7049","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_270","7055","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_271","7062","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_272","7068","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_273","7078","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_274","7082","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_275","7093","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_276","7100","医技考试","医技士","放射学技术（士）","单项选择题"
"CMBEXAM_277","7113","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_278","7125","医技考试","医技士","检验技术（士）","单项选择题"
"CMBEXAM_279","7142","医技考试","医技士","检验技术（士）","单项选择题"
"CMBEXAM_280","7144","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_281","7172","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_282","7178","医技考试","医技士","检验技术（士）","单项选择题"
"CMBEXAM_283","7185","医技考试","医技士","肿瘤学技术（士）","单项选择题"
"CMBEXAM_284","7187","医技考试","医技士","康复医学治疗技术（士）","单项选择题"
"CMBEXAM_285","7202","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_286","7204","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_287","7212","医技考试","医技师","放射学技术（师）","单项选择题"
"CMBEXAM_288","7228","医技考试","医技师","放射学技术（师）","单项选择题"
"CMBEXAM_289","7236","医技考试","医技师","检验技术（师）","单项选择题"
"CMBEXAM_290","7238","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_291","7251","医技考试","医技师","检验技术（师）","单项选择题"
"CMBEXAM_292","7265","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_293","7292","医技考试","医技师","放射学技术（师）","单项选择题"
"CMBEXAM_294","7294","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_295","7323","医技考试","医技师","检验技术（师）","单项选择题"
"CMBEXAM_296","7340","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_297","7384","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_298","7388","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_299","7416","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_300","7432","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_301","7452","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_302","7468","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_303","7484","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_304","7492","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_305","7532","医技考试","医技师","检验技术（师）","单项选择题"
"CMBEXAM_306","7542","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_307","7550","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_308","7559","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_309","7560","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_310","7589","医技考试","医技师","肿瘤学技术（师）","单项选择题"
"CMBEXAM_311","7599","医技考试","医技师","康复医学治疗技术（师）","单项选择题"
"CMBEXAM_312","7633","医技考试","主管技师","病理学主管技师","单项选择题"
"CMBEXAM_313","7662","医技考试","主管技师","临床医学检验主管技师","单项选择题"
"CMBEXAM_314","7695","医技考试","主管技师","放射医学主管技师","单项选择题"
"CMBEXAM_315","7708","医技考试","主管技师","临床医学检验主管技师","单项选择题"
"CMBEXAM_316","7729","医技考试","主管技师","病理学主管技师","单项选择题"
"CMBEXAM_317","7762","医技考试","主管技师","肿瘤放射治疗主管技师","单项选择题"
"CMBEXAM_318","7767","医技考试","主管技师","输血技术主管技师","单项选择题"
"CMBEXAM_319","7779","医技考试","主管技师","康复医学与治疗主管技师","单项选择题"
"CMBEXAM_320","7792","医技考试","主管技师","输血技术主管技师","单项选择题"
"CMBEXAM_321","7799","医技考试","主管技师","输血技术主管技师","单项选择题"
"CMBEXAM_322","7807","医技考试","主管技师","心电学主管技师","单项选择题"
"CMBEXAM_323","7827","医技考试","主管技师","心电学主管技师","单项选择题"
"CMBEXAM_324","7838","医技考试","主管技师","放射医学主管技师","单项选择题"
"CMBEXAM_325","7842","医技考试","主管技师","病案信息主管技师","单项选择题"
"CMBEXAM_326","7860","医技考试","主管技师","核医学主管技师","单项选择题"
"CMBEXAM_327","7861","医技考试","主管技师","临床医学检验主管技师","单项选择题"
"CMBEXAM_328","7880","医技考试","主管技师","病理学主管技师","单项选择题"
"CMBEXAM_329","7915","医技考试","主管技师","肿瘤放射治疗主管技师","单项选择题"
"CMBEXAM_330","7953","医技考试","主管技师","康复医学与治疗主管技师","单项选择题"
"CMBEXAM_331","7975","医技考试","主管技师","病理学技术","单项选择题"
"CMBEXAM_332","7987","医技考试","主管技师","病案信息主管技师","单项选择题"
"CMBEXAM_333","7991","医技考试","主管技师","输血技术主管技师","单项选择题"
"CMBEXAM_334","7998","医技考试","主管技师","消毒技术主管技师","单项选择题"
"CMBEXAM_335","2012","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_336","2042","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_337","2047","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_338","2052","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_339","2060","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_340","2067","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_341","2093","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_342","2095","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_343","2104","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_344","2114","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_345","2197","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_346","2209","护理考试","护士执业资格","护士执业资格考试","单项选择题"
"CMBEXAM_347","2234","护理考试","护士执业资格","护士执业资格考试","单项选择题"
